Line,Breeding_Program,Kernel_Plumpness,Trial
FEG149-18,MN,78.381,SP6-NormN_2012_Prosper
FEG149-18,MN,77.05296177,SP6-LowN_2012_Pullman
FEG153-31,MN,87.5,SP6-NormN_2012_Crookston
FEG153-31,MN,82.54,CAP6Row_Dry_2012_FtCollins
FEG153-31,MN,80.3471,CAP2_2007_BozemanIrr
FEG153-31,MN,80.321,SP6-LowN_2013_Prosper
FEG153-31,MN,79.5,SP6-NormN_2011_Crookston
FEG153-31,MN,78.5962,CAP2_2007_BozemanDry
FEG153-31,MN,76.15,CAP6Row_Irr_2012_FtCollins
FEG153-31,MN,75.75,SP6-LowN_2011_Crookston
FEG153-52,MN,89.6531,CAP2_2007_BozemanIrr
FEG153-52,MN,88.6593,CAP2_2007_BozemanDry
FEG153-58,MN,80.0326,CAP2_2007_BozemanIrr
FEG153-58,MN,79.997,CAP2_2007_BozemanDry
FEG154-42,MN,89.3145,CAP2_2007_BozemanIrr
FEG154-42,MN,87.848,CAP2_2007_BozemanDry
FEG154-47,MN,82.5442,CAP2_2007_BozemanIrr
FEG154-47,MN,81.9648,CAP2_2007_BozemanDry
FEG155-07,MN,85.0069,CAP2_2007_BozemanDry
FEG155-07,MN,84.7671,CAP2_2007_BozemanIrr
FEG155-41,MN,88.9944,CAP2_2007_BozemanDry
FEG155-41,MN,86.7229,CAP2_2007_BozemanIrr
FEG155-50,MN,88.0735,CAP2_2007_BozemanDry
FEG155-58,MN,81.4338,CAP2_2007_BozemanIrr
FEG156-09,MN,89.25,SP6-LowN_2012_Crookston
FEG156-09,MN,88.7738,CAP2_2007_BozemanIrr
FEG156-09,MN,87.63,CAP6Row_Irr_2012_FtCollins
FEG156-09,MN,84.776,SP6-LowN_2013_Prosper
FEG156-09,MN,84,SP6-NormN_2012_Crookston
FEG156-09,MN,83.4259,CAP2_2007_BozemanDry
FEG156-09,MN,76.2,SP6-NormN_2013_Prosper
FEG156-09,MN,75.803,SP6-NormN_2012_Prosper
FEG156-09,MN,74.7940306,SP6-LowN_2012_Pullman
FEG156-41,MN,86.464,CAP2_2007_BozemanDry
FEG156-41,MN,86.2077,CAP2_2007_BozemanIrr
FEG160-03,MN,89.8142,CAP2_2007_BozemanDry
FEG160-03,MN,89.11,CAP6Row_Irr_2012_FtCollins
FEG160-03,MN,84.75,SP6-NormN_2012_Crookston
FEG160-03,MN,81,SP6-NormN_2012_Pullman
FEG160-03,MN,80.625,SP6-NormN_2011_Crookston
FEG160-03,MN,77.5,SP6-LowN_2012_Crookston
FEG160-03,MN,76.72549919,SP6-LowN_2012_Pullman
FEG160-03,MN,75.652,SP6-LowN_2013_Prosper
FEG160-03,MN,75.25,SP6-LowN_2011_Crookston
FEG160-10,MN,81.5538,CAP2_2007_BozemanIrr
FEG160-27,MN,82.6394,CAP2_2007_BozemanIrr
FEG160-27,MN,80.614,CAP2_2007_BozemanDry
FEG160-38,MN,89.5993,CAP2_2007_BozemanDry
FEG161-03,MN,86.911,CAP2_2007_BozemanDry
FEG161-03,MN,86.2552,CAP2_2007_BozemanIrr
FEG161-25,MN,83.8053,CAP2_2007_BozemanIrr
FEG161-25,MN,82.0612,CAP2_2007_BozemanDry
FEG161-39,MN,82.7573,CAP2_2007_BozemanDry
FEG161-39,MN,82.7522,CAP2_2007_BozemanIrr
FEG162-16,MN,84.94,CAP6Row_Irr_2012_FtCollins
FEG162-16,MN,82.7954,CAP2_2007_BozemanDry
FEG162-16,MN,82,SP6-LowN_2012_Crookston
FEG162-16,MN,81.7347,CAP2_2007_BozemanIrr
FEG162-16,MN,79.968,SP6-LowN_2013_Prosper
FEG162-16,MN,76.5,SP6-NormN_2012_Crookston
FEG162-16,MN,70.46569493,SP6-LowN_2012_Prosper
FEG162-22,MN,77.9855,CAP2_2007_BozemanIrr
FEG162-22,MN,77.874,CAP2_2007_BozemanDry
FEG162-26,MN,77.7325,CAP2_2007_BozemanIrr
FEG162-26,MN,76.6537,CAP2_2007_BozemanDry
FEG162-34,MN,84.9991,CAP2_2007_BozemanIrr
